title,company,location,stipend,detail_url,role_category,skills,cleaned_text,extracted_skills
Web Development,Ashish Kirodiwal,,"₹ 4,000 - 6,000 /month",https://internshala.com/internship/detail/web-development-internship-in-jaipur-at-ashish-kirodiwal1787051944,Web Developer,"Bootstrap, CSS, HTML, JavaScript, Node.js, PHP, React, Certificate, Informal dress code",bootstrap css html javascript node.js php react certificate informal dress code,"['bootstrap', 'css', 'html', 'javascript', 'node.js', 'php', 'react']"
Software Engineering - FrontEnd,7CODEARENA PRIVATE LIMITED,,"₹ 5,500 - 8,000 /month",https://internshala.com/internship/detail/software-engineering-frontend-internship-in-patna-at-7codearena-private-limited1787054114,Web Developer,"MERN, Software Testing, Certificate, Letter of recommendation, 5 days a week",mern software testing certificate letter of recommendation 5 days a week,[]
Python Developer,Career Weaver,,"₹ 15,000 /month",https://internshala.com/internship/detail/python-developer-internship-in-multiple-locations-at-career-weaver1787053803,Web Developer,"Python, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages",python certificate letter of recommendation flexible work hours informal dress code free snacks beverages,['python']
AI Agent Development,Ritumbhara Resort,,"₹ 6,000 - 13,000 /month",https://internshala.com/internship/detail/work-from-home-ai-agent-development-internship-at-ritumbhara-resort1787053321,Web Developer,"Git, JavaScript, Next.js, Node.js, PostgreSQL, React, REST API, TypeScript, Certificate, Letter of recommendation, Flexible work hours",git javascript next.js node.js postgresql react rest api typescript certificate letter of recommendation flexible work hours,"['api', 'git', 'javascript', 'next.js', 'node.js', 'postgresql', 'react', 'rest api', 'typescript']"
Digital Marketing,Onestop4wellness,,"₹ 3,000 - 5,000 /month",https://internshala.com/internship/detail/digital-marketing-internship-in-mumbai-at-onestop4wellness1786971194,Web Developer,"Digital Marketing, Google My Business, Social Media Marketing, Web development, Certificate, Letter of recommendation, Flexible work hours, Informal dress code",digital marketing google my business social media marketing web development certificate letter of recommendation flexible work hours informal dress code,[]
Computer Operator,K4 Media & Technologies,,"₹ 8,000 - 10,000 /month",https://internshala.com/internship/detail/computer-operator-internship-in-jaipur-at-k4-media-technologies1786950154,Web Developer,"English Proficiency (Written), MS-Office, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",english proficiency written ms office certificate letter of recommendation informal dress code free snacks beverages,[]
AI & Automation Developer Intern,Perform Digital,,"₹ 6,000 - 10,000 /month",https://internshala.com/internship/detail/ai-automation-developer-intern-internship-in-allahabad-at-perform-digital1786353300,Web Developer,"Generative AI Development, GitHub, Java, Node.js, Python",generative ai development github java node.js python,"['github', 'java', 'node.js', 'python']"
Backend Development,EmpowerU (Promorph Solutions Private Limited),,"₹ 3,000 - 5,000 /month",https://internshala.com/internship/detail/backend-development-internship-in-multiple-locations-at-empoweru-promorph-solutions-private-limited1785732229,Web Developer,"Cloud Firestore, Computer Networks, Express.js, Git, Google Cloud Platforms (GCP), MongoDB, Node.js, Python, REST API, Certificate, Letter of recommendation, Job offer",cloud firestore computer networks express.js git google cloud platforms gcp mongodb node.js python rest api certificate letter of recommendation job offer,"['api', 'express.js', 'git', 'mongodb', 'node.js', 'python', 'rest api']"
Web Development,S2S Web Technology,,"₹ 3,000 - 4,000 /month",https://internshala.com/internship/detail/web-development-internship-in-tiruchirappalli-at-s2s-web-technology1785222717,Web Developer,"Computer skills, Web Design, Web development, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Free snacks & beverages",computer skills web design web development certificate letter of recommendation informal dress code 5 days a week free snacks beverages,[]
PHP Development,Techno Particles,,"₹ 4,000 - 10,000 /month",https://internshala.com/internship/detail/php-development-internship-in-agra-at-techno-particles1784829728,Web Developer,"CSS, HTML, JavaScript, MySQL, PHP",css html javascript mysql php,"['css', 'html', 'javascript', 'mysql', 'php']"
